Year,Host,Most Nominations,Most Wins,Best Picture,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Nominee 11,Best Actor,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Best Actress,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Best Supporting Actor,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Supporting Actress,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Director,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Best Assistant Director,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Dance Direction,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Best Adapted Screenplay,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Best Original Screenplay,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Original Story,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Best Score,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Nominee 11,Nominee 12,Nominee 13,Nominee 14,Nominee 15,Nominee 16,Nominee 17,Nominee 18,Nominee 19,Nominee 20,Best Original Musical/Secondary Score Category,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Nominee 11,Nominee 12,Nominee 13,Best Original Song,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Nominee 11,Nominee 12,Nominee 13,Best International Feature Film,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Documentary Feature,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Documentary Short,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Best Animated Feature,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Animated Short,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Best Live Action Short (Comedy or One Reel or Regular),Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Best Live Action Short (Two-Reel or Novelty),Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Live Action Short (Color),Nominee 1,Nominee 2,Best Production Design (Black and White),Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Nominee 11,Nominee 12,Nominee 13,Best Production Design (Color),Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Best Cinematography (Black and White),Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Best Cinematography (Color),Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Best Film Editing,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Best Visual/Special Effects,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Nominee 11,Nominee 12,Nominee 13,Best Sound Mixing,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Nominee 5,Nominee 6,Nominee 7,Nominee 8,Nominee 9,Nominee 10,Nominee 11,Best Sound Editing,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Makeup and Hairstyling,Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Costume Design (Black and White),Nominee 1,Nominee 2,Nominee 3,Nominee 4,Best Costume Design (Color),Nominee 1,Nominee 2,Nominee 3,Nominee 4
1927/28,Douglas Fairbanks,Seventh Heaven (5),Seventh Heaven AND Sunrise: A Song of Two Humans (3),Wings,The Racket,Seventh Heaven,Unique and Artistic Production- Sunrise: A Song of Two Humans,Chang: A Drama of the Wilderness,The Crowd,N/A,N/A,N/A,N/A,N/A,N/A,Emil Jannings for The Last Command AND The Way of All Flesh,Richard Barthelmess for The Noose AND The Patent Leather Kid,N/A,N/A,N/A,N/A,N/A,N/A,"Janet Gaynor for Seventh Heaven, Street Angel, AND Sunrise: A Song of Two Humans",Louise Dresser for A Ship Comes In,Gloria Swanson for Sadie Thompson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frank Borzage for Seventh Heaven (Dramatic) AND Lewis Milestone for Two Arabian Knights (Comedy),Ted Wilde for Speedy (Comedy),Herbert Brenon for Sorrell and Son (Dramatic),King Vidor for The Crowd (Dramatic),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Benjamin Glazer for Seventh Heaven,Anthony Coldeway for Glorious Betsy,Alfred A. Cohn for The Jazz Singer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joseph Farnham for The Red Mill (Best Title Writing),"George Marion, Jr. for The Magic Flame",Gerald Duffy for The Private Life of Helen of Troy,N/A,N/A,Ben Hecht for Underworld,Lajos Biro for The Last Command,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,William Cameron Menzies for The Dove AND Tempest,Harry Oliver for Seventh Heaven,Rochus Gliese for Sunrise: A Song of Two Humans,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Charles Rosher and Karl Struss for Sunrise: A Song of Two Humans,George Barnes for The Devil Dancer,George Barnes for The Magic Flame,George Barnes for Sadie Thompson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Roy Pomeroy for Wings,Ralph Hammeras,Nugent Slaughter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1928/29,William C. DeMille,In Old Arizona AND The Patriot (5),None (No Film Won More Than One Award),The Broadway Melody,Alibi,Hollywood Revue,In Old Arizona,The Patriot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Warner Baxter for In Old Arizona,George Bancroft for Thunderbolt,Chester Morris for Alibi,Paul Muni for The Valiant,Lewis Stone for The Patriot,N/A,N/A,N/A,Mary Pickford for Coquette,Ruth Chatterton for Madame X,Betty Compson for The Barker,Jeanne Eagels for The Letter,Corinne Griffith for The Divine Lady,Bessie Love for The Broadway Melody,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frank Lloyd for The Divine Lady,Lionel Barrymore for Madame X,Harry Beaumont for The Broadway Melody,Irving Cummings for In Old Arizona,Frank Lloyd for Drag,Frank Lloyd for Weary River,Ernst Lubitsch for The Patriot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hanns Kraly for The Patriot,Tom Barry for In Old Arizona ,Tom Barry for The Valiant,Elliott Clawson for The Cop,Elliott Clawson for The Leatherneck,Elliott Clawson for Sal of Singapore,Elliott Clawson for Skyscraper,Hanns Kraly for The Last of Mrs. Cheyney,Josephine Lovett for Our Dancing Daughters,Bess Meredyth for A Woman of Affairs,Bess Meredyth for Wonder of Women,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cedric Gibbons for The Bridge of San Luis Rey,Hans Dreier for The Patriot,Mitchell Leisen for Dynamite,William Cameron Menzies for Alibi,William Cameron Menzies for The Awakening,Harry Oliver for Street Angel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Clyde De Vinna for White Shadows in the South Seas,George Barnes for Our Dancing Daughters,Arthur Edeson for In Old Arizona,Ernest Palmer for Four Devils,Ernest Palmer for Street Angel,John F. Seitz for The Divine Lady,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1929/30,Conrad Nagel,The Love Parade (6),All Quiet on the Western Front AND The Big House (2),All Quiet on the Western Front,The Big House,Disraeli,The Divorcee,The Love Parade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,George Arliss for Disraeli,George Arliss for The Green Goddess,Wallace Beery for The Big House,Maurice Chevalier for The Big Pond,Maurice Chevalier for The Love Parade,Ronald Colman for Bulldog Drummond,Ronald Colman for Condemned,Lawrence Tibbett for The Rogue Song,Norma Shearer for The Divorcee,Nancy Carroll for The Devil's Holiday,Ruth Chatterton for Sarah and Son,Greta Garbo for Anna Christie ,Greta Garbo for Romance,Norma Shearer for Their Own Desire,Gloria Swanson for The Trespasser,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lewis Milestone for All Quiet on the Western Front,Clarence Brown for Anna Christie ,Clarence Brown for Romance,Robert Z. Leonard for The Divorcee,Ernst Lubitsch for The Love Parade,King Vidor for Hallelujah!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frances Marion for The Big House,"George Abbott, Maxwell Anderson, and Del Andrews for All Quiet on the Western Front",Julien Josephson for Disraeli,John Meehan for The Divorcee,Howard Estabrook for Street of Chance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Herman Rosse for King of Jazz,William Cameron Menzies for Bulldog Drummond,Hans Dreier for The Love Parade,Jack Okey for Sally,Hans Dreier for The Vagabond King,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Joseph T. Rucker and Willard Van der Veer for With Byrd at the South Pole,Arthur Edeson for All Quiet on the Western Front,William H. Daniels for Anna Christie,Tony Gaudio and Harry Perry for Hell's Angels,Victor Milner for The Love Parade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Douglas Shearer for The Big House,John Tribby for The Case of Sergeant Grischa,Franklin Hansen for The Love Parade,Oscar Lagerstrom for Raffles,George Groves for The Song of the Flame,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1930/31,Lawrence Grant,Cimarron (7),Cimarron (3),Cimarron,East Lynne,The Front Page,Skippy,Trader Horn,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lionel Barrymore for A Free Soul,Jackie Cooper for Skippy,Richard Dix for Cimarron,Fredric March for The Royal Family of Broadway,Adolphe Menjou for The Front Page,N/A,N/A,N/A,Marie Dressler for Min and Bill,Marlene Dietrich for Morocco,Irene Dunne for Cimarron,Ann Harding for Holiday,Norma Shearer for A Free Soul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Norman Taurog for Skippy,Clarence Brown for A Free Soul,Lewis Milestone for The Front Page,Wesley Ruggles for Cimarron,Josef von Sternberg for Morocco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Howard Eastbrook for Cimarron,"Seton I. Miller and Fred Niblo, Jr. for The Criminal Code",Horace Jackson for Holiday,Francis Edward Faragoh and Robert N. Lee for Little Caesar,Joseph L. Mankiewicz and Sam Mintz for Skippy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,John Monk Saunders for The Dawn Patrol,Rowland Brown for The Doorway to Hell,"Harry d'Arrast, Douglas Doty, and Donald Stewart for Laughter",John Bright and Kubec Glasmon for The Public Enemy,Lucien Hubbard and Joseph Jackson for Smart Money,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Max Ree for Cimarron,Stephen Goosson and Ralph Hammeras for Just Imagine,Hans Dreier for Morocco,Anton Grot for Svengali,Richard Day for Whoopee!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Floyd Crosby for Tabu: A Story of the South Seas,Edward Cronjager for Cimarron,Lee Garmes for Morocco,Charles Lang for The Right to Love,Barney McGill for Svengali,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paramount Publix Studio Sound Department,MGM Studio Sound Department,RKO Radio Studio Sound Department,Samuel Goldwyn-United Artists Studio Sound Department,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1931/32,Conrad Nagel,Arrowsmith AND The Champ (4),Bad Girl AND The Champ (2),Grand Hotel,Arrowsmith,Bad Girl,The Champ,Five Star Final,One Hour with You,Shanghai Express,The Smiling Lieutenant,N/A,N/A,N/A,N/A,Wallace Beery for The Champ AND Fredric March for Dr. Jekyll and Mr. Hyde,Alfred Lunt for The Guardsman,N/A,N/A,N/A,N/A,N/A,N/A,Helen Hayes for The Sin of Madelon Claudet,Marie Dressler for Emma,Lynn Fontanne for The Guardsman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frank Borzage for Bad Girl,King Vidor for The Champ,Josef von Sternberg for Shanghai Express,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edwin J. Burke for Bad Girl,Sidney Howard for Arrowsmith,Percy Heath and Samuel Hoffenstein for Dr. Jekyll and Mr. Hyde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frances Marion for The Champ,Grover Jones and William Slavens McNutt for Lady and Gent,Lucien Hubbard for The Star Witness,Adela Rogers St. Johns and Jane Murfin for What Price Hollywood?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Flowers and Trees,It's Got Me Again!,Mickey's Orphans,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The Music Box,The Loud Mouth,Scratch-As-Catch-Can,N/A,N/A,N/A,N/A,Wrestling Swordfish,Screen Souvenirs,Swing High,N/A,N/A,N/A,N/A,N/A,Gordon Wiles for Transatlantic,Lazare Meerson for A nous la liberte,Richard Day for Arrowsmith,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lee Garmes for Shanghai Express,Ray June for Arrowsmith,Karl Struss for Dr. Jekyll and Mr. Hyde,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paramount Publix Studio Sound Department,MGM Studio Sound Department,RKO Radio Studio Sound Department,Walt Disney Productions,Warner Bros. First National Studio Sound Department,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1932/33,Will Rogers,"Cavalcade, A Farewell to Arms, AND Lady for a Day (4)",Cavalcade (3),Cavalcade,42nd Street,A Farewell to Arms,I Am a Fugitive from a Chain Gang,Lady for a Day,Little Women,The Private Life of Henry VIII,She Done Him Wrong,Smilin' Through,State Fair,N/A,N/A,Charles Laughton for The Private Life of Henry VIII,Leslie Howard for Berkeley Square,Paul Muni from I Am a Fugitive from a Chain Gang,N/A,N/A,N/A,N/A,N/A,Katharine Hepburn for Morning Glory,May Robson for Lady for a Day,Diana Wynyard for Cavalcade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frank Lloyd for Cavalcade,Frank Capra for Lady for a Day,George Cukor for Little Women,N/A,N/A,N/A,N/A,"Charles Barton, Charles Dorian, Scott Beal, Fred Fox, Gordon Hollingshead, Dewey Starkey, AND William Tummel","Al Alleborn, Sid Brod, Orville O. Dull,","Percy Ikerd, Arthur Jacobson, Edward Killy,","Joseph A. McDonough, William J. Reiter, Frank Shaw,","Ben Silvey, AND John Waters",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Victor Heerman and Sarah Y. Mason for Little Women,Robert Riskin for Lady for a Day,Paul Green and Sonya Levien for State Fair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Robert Lord for One Way Passage,Frances Marion for The Prize Fighter and the Lady,Charles MacArthur for Rasputin and the Empress,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Three Little Pigs,Building a Building,The Merry Old Soul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,So This Is Harris!,Mister Mugg,A Preferred List,N/A,N/A,N/A,N/A,Krakatoa,Menu,The Sea,N/A,N/A,N/A,N/A,N/A,William S. Darling and Frederic Hope for Cavalcade,Hans Dreier and Roland Anderson for A Farewell to Arms,Cedric Gibbons for When Ladies Meet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Charles Lang for A Farewell to Arms,George J. Folsey for Reunion in Vienna,Karl Struss for Sign of the Cross,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Franklin Hansen for A Farewell to Arms,Nathan Levinson for 42nd Street,Nathan Levinson for Gold Diggers of 1933,Nathan Levinson for I Am a Fugitive from a Chain Gang,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1934,Irvin S. Cobb,One Night of Love (6),It Happened One Night (5),It Happened One Night,The Barretts of Wimpole Street,Cleopatra,Flirtation Walk,The Gay Divorcee,Here Comes the Navy,The House of Rothschild,Imitation of Life,One Night of Love,The Thin Man,Viva Villa!,The White Parade,Clark Gable for It Happened One Night,Frank Morgan for The Affairs of Cellini,William Powell for The Thin Man,N/A,N/A,N/A,N/A,N/A,Claudette Colbert for It Happened One Night,Bette Davis for Of Human Bondage (write-in),Grace Moore for One Night of Love,Norma Shearer for The Barretts of Wimpole Street,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frank Capra for It Happened One Night,Victor Schertzinger for One Night of Love,W. S. Van Dyke for The Thin Man,N/A,N/A,N/A,N/A,John Waters for Viva Villa!,Cullen Tate for Cleopatra,Scott Beal for Imitation of Life,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Robert Riskin for It Happened One Night,Frances Goodrich and Albert Hackett for The Thin Man,Ben Hecht for Viva Villa!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arthur Caesar for Manhattan Melodrama,Maur Grashin for Hide-Out,Norman Krasna for The Richest Girl in the World,N/A,N/A,N/A,One Night of Love,The Gay Divorcee,The Lost Patrol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"""The Continental"" from The Gay Divorcee","""Carioca"" from Flying Down to Rio","""Love in Bloom"" from She Loves Me Not",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The Tortoise and the Hare,Holiday Land,Jolly Little Elves,N/A,N/A,N/A,N/A,N/A,N/A,N/A,La Cucaracha,Men in Black,"What, No Men!",N/A,N/A,N/A,N/A,City of Wax,Bosom Friends,Strikes and Spares,N/A,N/A,N/A,N/A,N/A,Cedric Gibbons and Fredric Hope for The Merry Widow,Richard Day for The Affairs of Cellini,Van Nest Polglase and Carroll Clark for The Gay Divorcee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Victor Milner for Cleopatra,Charles Rosher for The Affairs of Cellini,George J. Folsey for Operator 13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Conrad A. Nervig for Eskimo,Anne Bauchens for Cleopatra,Gene Milford for One Night of Love,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,John Livadary for One Night of Love,Thomas T. Moulton for The Affairs of Cellini,Franklin B. Hansen for Cleopatra,Nathan Levinson for Flirtation Walk,Carl Dreher for The Gay Divorcee,Theodore Soderberg for Imitation of Life,Douglas Shearer for Viva Villa!,Edmund H. Hansen for White Parade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
